route_id,shape_id,service_id,start_time,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed
R01,S01,WD,5:20:00,Route 1,1,,,,
R01,S01,WD,6:15:00,Route 1,1,,,,
R01,S01,WD,7:10:00,Route 1,1,,,,
R01,S01,WD,8:20:00,Route 1,1,,,,
R01,S01,WD,9:20:00,Route 1,1,,,,
R01,S01,WD,10:20:00,Route 1,1,,,,
R01,S01,WD,11:20:00,Route 1,1,,,,
R01,S01,WD,12:20:00,Route 1,1,,,,
R01,S01,WD,13:20:00,Route 1,1,,,,
R01,S01,WD,14:20:00,Route 1,1,,,,
R01,S01,WD,15:20:00,Route 1,1,,,,
R01,S01,WD,16:20:00,Route 1,1,,,,
R01,S01,WD,17:20:00,Route 1,1,,,,
R01,S01,WD,18:20:00,Route 1,1,,,,
R01,S01,WE,8:25:00,Route 1,1,,,,
R01,S01,WE,9:20:00,Route 1,1,,,,
R01,S01,WE,10:20:00,Route 1,1,,,,
R01,S01,WE,11:20:00,Route 1,1,,,,
R01,S01,WE,12:20:00,Route 1,1,,,,
R01,S01,WE,13:20:00,Route 1,1,,,,
R01,S01,WE,14:20:00,Route 1,1,,,,
R01,S01,WE,15:20:00,Route 1,1,,,,
R01,S01,WE,16:15:00,Route 1,1,,,,
R02,S02,WD,5:20:00,Route 2,2,,,,
R02,S02,WD,6:15:00,Route 2,2,,,,
R02,S02,WD,7:10:00,Route 2,2,,,,
R02,S02,WD,8:20:00,Route 2,2,,,,
R02,S02,WD,9:20:00,Route 2,2,,,,
R02,S02,WD,10:20:00,Route 2,2,,,,
R02,S02,WD,11:20:00,Route 2,2,,,,
R02,S02,WD,12:20:00,Route 2,2,,,,
R02,S02,WD,13:20:00,Route 2,2,,,,
R02,S02,WD,14:20:00,Route 2,2,,,,
R02,S02,WD,15:20:00,Route 2,2,,,,
R02,S02,WD,16:20:00,Route 2,2,,,,
R02,S02,WD,17:20:00,Route 2,2,,,,
R02,S02,WD,18:20:00,Route 2,2,,,,
R02,S02,WE,8:25:00,Route 2,2,,,,
R02,S02,WE,9:20:00,Route 2,2,,,,
R02,S02,WE,10:20:00,Route 2,2,,,,
R02,S02,WE,11:20:00,Route 2,2,,,,
R02,S02,WE,12:20:00,Route 2,2,,,,
R02,S02,WE,13:20:00,Route 2,2,,,,
R02,S02,WE,14:20:00,Route 2,2,,,,
R02,S02,WE,15:20:00,Route 2,2,,,,
R02,S02,WE,16:15:00,Route 2,2,,,,
R03,S03,WD,5:20:00,Route 3,3,,,,
R03,S03,WD,5:50:00,Route 3,3,,,,
R03,S03,WD,6:15:00,Route 3,3,,,,
R03,S03,WD,6:45:00,Route 3,3,,,,
R03,S03,WD,7:10:00,Route 3,3,,,,
R03,S03,WD,7:50:00,Route 3,3,,,,
R03,S03,WD,8:20:00,Route 3,3,,,,
R03,S03,WD,9:20:00,Route 3,3,,,,
R03,S03,WD,10:20:00,Route 3,3,,,,
R03,S03,WD,11:20:00,Route 3,3,,,,
R03,S03,WD,12:20:00,Route 3,3,,,,
R03,S03,WD,13:20:00,Route 3,3,,,,
R03,S03,WD,14:20:00,Route 3,3,,,,
R03,S03,WD,15:20:00,Route 3,3,,,,
R03,S03,WD,15:50:00,Route 3,3,,,,
R03,S03,WD,16:20:00,Route 3,3,,,,
R03,S03,WD,16:50:00,Route 3,3,,,,
R03,S03,WD,17:20:00,Route 3,3,,,,
R03,S03,WD,18:20:00,Route 3,3,,,,
R03,S03,WE,8:25:00,Route 3,3,,,,
R03,S03,WE,9:20:00,Route 3,3,,,,
R03,S03,WE,10:20:00,Route 3,3,,,,
