agency_id,route_id,shape_id,stop_sequence,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,arrival_offset,departure_offset,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
cr_transit,R01,S01,1,,Ground Transportation Center,concrete pad,41.97541986,-91.66662092,,,,,,,00:00:00,00:00:00,,,,
cr_transit,R01,S01,2,,2nd Ave Bridge @ City Hall,concrete pad,41.97711492,-91.66933234,,,,,,,,,,,,
cr_transit,R01,S01,3,,2nd Ave Bridge @ Vets. Memorial,concrete pad,41.97645829,-91.67062766,,,,,,,,,,,,
cr_transit,R01,S01,4,,2nd Ave & 2nd St,corner sidewalk,41.9752518,-91.67369988,,,,,,,,,,,,
cr_transit,R01,S01,5,,2nd Ave & L St,concrete pad,41.9743023,-91.67636004,,,,,,,,,,,,
cr_transit,R01,S01,6,,2nd Ave & 7th St,corner sidewalk,41.97299111,-91.68008954,,,,,,,,,,,,
cr_transit,R01,S01,7,,2nd Ave & 9th St RR tracks,gravel to sidewalk,41.97205248,-91.68273151,,,,,,,,,,,,
cr_transit,R01,S01,8,,10th St & 1st Ave,concrete pad,41.9724975,-91.6843637,,,,,,,,,,,,
cr_transit,R01,S01,9,,10th St & B Ave,concrete pad,41.97496887,-91.68551864,,,,,,,,,,,,
cr_transit,R01,S01,10,,10th St & C Ave (Salvation Army),corner sidewalk,41.97603994,-91.68552455,,,,,,,,,,,,
cr_transit,R01,S01,11,,10th St & E Ave,corner sidewalk,41.97793744,-91.68552369,,,,,,,00:07:00,00:07:00,,,,
cr_transit,R01,S01,12,,E Ave & 13th St,corner sidewalk,41.97817271,-91.68926397,,,,,,,,,,,,
cr_transit,R01,S01,13,,15th St & F Ave,grass to sidewalk,41.97886025,-91.691252,,,,,,,,,,,,
cr_transit,R01,S01,14,,F Ave & 10th St,corner sidewalk,41.97898497,-91.6862863,,,,,,,,,,,,
cr_transit,R01,S01,15,,F Ave & 8th St,corner sidewalk,41.97895184,-91.68349498,,,,,,,,,,,,
cr_transit,R01,S01,16,,Ellis Blvd & G Ave,corner sidewalk,41.98015443,-91.68184307,,,,,,,,,,,,
cr_transit,R01,S01,17,,Ellis Blvd & I Ave,corner sidewalk,41.98156521,-91.68194565,,,,,,,,,,,,
cr_transit,R01,S01,18,,Ellis Blvd & K Ave,concrete pad,41.98404389,-91.68194784,,,,,,,,,,,,
cr_transit,R01,S01,19,,Ellis Blvd & L Ave,corner sidewalk,41.98527949,-91.68201349,,,,,,,,,,,,
cr_transit,R01,S01,20,,Ellis Blvd & M Ave,corner sidewalk,41.98666354,-91.68202413,,,,,,,,,,,,
cr_transit,R01,S01,21,,Ellis Blvd & O Ave,corner sidewalk,41.98889138,-91.68207412,,,,,,,00:13:00,00:13:00,,,,
cr_transit,R01,S01,22,,O Ave & 9th St,grass to sidewalk,41.9890977,-91.68463305,,,,,,,,,,,,
cr_transit,R01,S01,23,,O Ave & 11th St,corner sidewalk,41.98913846,-91.68717881,,,,,,,,,,,,
cr_transit,R01,S01,24,,O Ave & 13th St (far-side),"grass, no sidewalk",41.98909159,-91.68961211,,,,,,,,,,,,
cr_transit,R01,S01,25,,O Ave & 16th St,"grass, no sidewalk",41.98911831,-91.69389881,,,,,,,,,,,,
cr_transit,R01,S01,26,,O Ave & 18th St,corner sidewalk,41.98916582,-91.69665675,,,,,,,,,,,,
cr_transit,R01,S01,27,,O Ave & 21st St,grass to sidewalk,41.98919039,-91.70022494,,,,,,,,,,,,
cr_transit,R01,S01,28,,O Ave & 23rd St,grass to sidewalk,41.98923113,-91.70271641,,,,,,,,,,,,
cr_transit,R01,S01,29,,O Ave & 26th St,grass to sidewalk,41.98925016,-91.70594623,,,,,,,,,,,,
cr_transit,R01,S01,30,,2804 O Ave,grass to sidewalk,41.98928597,-91.70903824,,,,,,,,,,,,
cr_transit,R01,S01,31,,O Ave @ Imperial Apts,corner sidewalk,41.98929234,-91.71040621,,,,,,,,,,,,
cr_transit,R01,S01,32,,O Ave & Hillside Dr,grass to sidewalk,41.98932998,-91.71242863,,,,,,,00:17:00,00:17:00,,,,
cr_transit,R01,S01,33,,Edgewood Rd @ Westgate Apts,grass to sidewalk,41.98611455,-91.71610796,,,,,,,,,,,,
cr_transit,R01,S01,34,,Edgewood Rd & Crestwood Dr,"grass, no sidewalk",41.98394422,-91.71618039,,,,,,,,,,,,
cr_transit,R01,S01,35,,Edgewood Rd & H Ave,"grass, no sidewalk",41.9812345,-91.71611504,,,,,,,,,,,,
cr_transit,R01,S01,36,,Edgewood Rd & Sunnydale St,corner sidewalk,41.9791526,-91.71611928,,,,,,,,,,,,
cr_transit,R01,S01,37,,390 Edgewood Rd (Burger King),grass to sidewalk,41.97669895,-91.71616356,,,,,,,,,,,,
cr_transit,R01,S01,38,,Edgewood Rd & Johnson Ave,grass to sidewalk,41.97478575,-91.71613234,,,,,,,,,,,,
cr_transit,R01,S01,39,,Edgewood Rd & Dennis Dr,grass to sidewalk,41.97149703,-91.71616664,,,,,,,,,,,,
cr_transit,R01,S01,40,,Edgewood Rd & 1st Ave,grass to sidewalk,41.96763736,-91.71619361,,,,,,,,,,,,
cr_transit,R01,S01,41,,Edgewood Rd & 16th Ave,grass to sidewalk,41.96380632,-91.71631664,,,,,,,,,,,,
cr_transit,R01,S01,42,,3750 16th Ave,grass to sidewalk,41.96384577,-91.72017522,,,,,,,,,,,,
cr_transit,R01,S01,43,,16th Ave & Wiley Blvd,concrete pad,41.96392071,-91.72570992,,,,,,,,,,,,
cr_transit,R01,S01,44,,12th Ave & Wiley Blvd (far-side) (IBEW),"grass, no sidewalk",41.96560445,-91.72534653,,,,,,,00:23:00,00:23:00,,,,
cr_transit,R01,S01,45,,12th Ave & Clive Dr,concrete pad,41.96557062,-91.7223036,,,,,,,,,,,,
cr_transit,R01,S01,46,,3665 12th Ave,grass to sidewalk,41.96557604,-91.72024023,,,,,,,,,,,,
cr_transit,R01,S01,47,,12th Ave & Auburn Dr (far-side),concrete pad,41.96556763,-91.71805544,,,,,,,,,,,,
cr_transit,R01,S01,48,,Edgewood Rd & 1st Ave,grass to sidewalk,41.96747784,-91.71586283,,,,,,,,,,,,
cr_transit,R01,S01,49,,Edgewood Rd & Susan Dr,grass to sidewalk,41.97207088,-91.7158612,,,,,,,,,,,,
cr_transit,R01,S01,50,,Edgewood Rd & Johnson Ave,corner sidewalk,41.97430411,-91.71589089,,,,,,,,,,,,
cr_transit,R01,S01,51,,Edgewood Rd @ Edgewood Plaza,grass to sidewalk,41.97651876,-91.71581867,,,,,,,,,,,,
cr_transit,R01,S01,52,,Edgewood Rd & E Ave,grass to sidewalk,41.97820618,-91.71579259,,,,,,,,,,,,
cr_transit,R01,S01,53,,Edgewood Rd & F Ave (Casey's),"grass, no sidewalk",41.98000449,-91.71574561,,,,,,,,,,,,
cr_transit,R01,S01,54,,Edgewood Rd & H Ave,"grass, no sidewalk",41.98136751,-91.71575814,,,,,,,,,,,,
cr_transit,R01,S01,55,,Edgewood Rd & Waveland Dr,"grass, no sidewalk",41.98309564,-91.7158203,,,,,,,,,,,,
cr_transit,R01,S01,56,,Edgewood Rd & Westwood Dr,"grass, no sidewalk",41.98595521,-91.71585032,,,,,,,,,,,,
cr_transit,R01,S01,57,,Edgewood Rd & O Ave,corner sidewalk,41.98920563,-91.71529744,,,,,,,00:29:00,00:29:00,,,,
cr_transit,R01,S01,58,,O Ave & Hillside Dr,grass to sidewalk,41.98914514,-91.71275959,,,,,,,,,,,,
cr_transit,R01,S01,59,,O Ave & Blanche Dr,corner sidewalk,41.98911532,-91.71030138,,,,,,,,,,,,
cr_transit,R01,S01,60,,2801 O Ave,grass to sidewalk,41.9890908,-91.70895048,,,,,,,,,,,,
cr_transit,R01,S01,61,,O Ave & 26th St,corner sidewalk,41.98905614,-91.70613695,,,,,,,,,,,,
cr_transit,R01,S01,62,,O Ave & Highwood Dr,grass to sidewalk,41.98906581,-91.70199839,,,,,,,,,,,,
cr_transit,R01,S01,63,,O Ave across from 20th St,"grass, no sidewalk",41.98899338,-91.69923712,,,,,,,,,,,,
cr_transit,R01,S01,64,,1725 O Ave  (Milestones),concrete pad,41.98891322,-91.69632016,,,,,,,,,,,,
cr_transit,R01,S01,65,,O Ave & 16th St,grass to sidewalk,41.9889903,-91.69390258,,,,,,,,,,,,
cr_transit,R01,S01,66,,O Ave across from 13th St,"grass, no sidewalk",41.98900798,-91.68958131,,,,,,,,,,,,
cr_transit,R01,S01,67,,O Ave & 11th St,"grass, no sidewalk",41.98893693,-91.68720162,,,,,,,,,,,,
cr_transit,R01,S01,68,,O Ave & 9th St,"grass, no sidewalk",41.98892713,-91.68469385,,,,,,,,,,,,
cr_transit,R01,S01,69,,O Ave & Ellis Blvd,corner sidewalk,41.98888412,-91.6823235,,,,,,,00:34:00,00:34:00,,,,
cr_transit,R01,S01,70,,Ellis Blvd & M Ave,corner sidewalk,41.98685289,-91.68224472,,,,,,,,,,,,
cr_transit,R01,S01,71,,Ellis Blvd & L Ave,corner sidewalk,41.98545151,-91.68221805,,,,,,,,,,,,
cr_transit,R01,S01,72,,Ellis Blvd & K Ave,corner sidewalk,41.98418617,-91.68220662,,,,,,,,,,,,
cr_transit,R01,S01,73,,Ellis Blvd & I Ave,grass to sidewalk,41.98178394,-91.68217049,,,,,,,,,,,,
cr_transit,R01,S01,74,,Ellis Blvd & G Ave,corner sidewalk,41.98016138,-91.68216936,,,,,,,,,,,,
cr_transit,R01,S01,75,,F Ave & 8th St,corner sidewalk,41.97915693,-91.6832712,,,,,,,,,,,,
cr_transit,R01,S01,76,,F Ave & 10th St,corner sidewalk,41.97920842,-91.68603817,,,,,,,,,,,,
cr_transit,R01,S01,77,,F Ave & 13th St,corner sidewalk,41.97925244,-91.68923644,,,,,,,,,,,,
cr_transit,R01,S01,78,,1500 15th St,"grass, no sidewalk",41.97867212,-91.69148112,,,,,,,,,,,,
cr_transit,R01,S01,79,,E Ave & 13th St (Roosevelt School),corner sidewalk,41.9780017,-91.68951125,,,,,,,,,,,,
cr_transit,R01,S01,80,,E Ave & 11th St  (Abbe Center),concrete pad,41.9779938,-91.68711593,,,,,,,00:39:00,00:39:00,,,,
cr_transit,R01,S01,81,,10th St & C Ave  (Salvation Army),concrete pad,41.9761067,-91.68576856,,,,,,,,,,,,
cr_transit,R01,S01,82,,10th St & B Ave,corner sidewalk,41.97498591,-91.68579871,,,,,,,,,,,,
cr_transit,R01,S01,83,,10th St & A Ave,corner sidewalk,41.97356417,-91.68530011,,,,,,,,,,,,
cr_transit,R01,S01,84,,903 1st Ave (Family Dollar),concrete pad,41.97272949,-91.68365341,,,,,,,,,,,,
cr_transit,R01,S01,85,,1st Ave & 6th St,corner sidewalk,41.97413825,-91.67960482,,,,,,,,,,,,
cr_transit,R01,S01,86,,1st Ave & 5th St,corner sidewalk,41.97455255,-91.67831484,,,,,,,,,,,,
cr_transit,R01,S01,87,,1st Ave & L St,corner sidewalk,41.97493257,-91.67709364,,,,,,,,,,,,
cr_transit,R01,S01,88,,1st Ave & 2nd St,corner sidewalk,41.97595114,-91.6745016,,,,,,,,,,,,
cr_transit,R01,S01,89,,1st St & 2nd Ave,corner sidewalk,41.97563013,-91.67268848,,,,,,,,,,,,
cr_transit,R01,S01,90,,1st St & 4th Ave,corner sidewalk,41.97374907,-91.67146327,,,,,,,,,,,,
cr_transit,R01,S01,91,,1st St & 6th Ave,corner sidewalk,41.97187096,-91.6702438,,,,,,,,,,,,
cr_transit,R01,S01,92,,7th Ave & 1st St,corner sidewalk,41.97317487,-91.66459051,,,,,,,,,,,,
cr_transit,R01,S01,93,,Ground Transportation Center,concrete pad,41.97541986,-91.66662092,,,,,,,00:50:00,00:50:00,,,,
cr_transit,R03,S03,1,,GTC,concrete pad,41.97544304,-91.66664448,,,,,,,00:00:00,00:00:00,,,,
cr_transit,R03,S03,2,,3rd Ave & RR tracks,concrete pad,41.97810034,-91.66478407,,,,,,,,,,,,
cr_transit,R03,S03,3,,3rd Ave & 6th St,corner sidewalk,41.97933479,-91.66246985,,,,,,,,,,,,
cr_transit,R03,S03,4,,3rd Ave & 8th St,concrete pad,41.98065453,-91.66029966,,,,,,,,,,,,
cr_transit,R03,S03,5,,3rd Ave & 10th St,concrete pad,41.98180651,-91.65816679,,,,,,,,,,,,
cr_transit,R03,S03,6,,3rd Ave & 12th St,corner sidewalk,41.98306161,-91.65605748,,,,,,,,,,,,
cr_transit,R03,S03,7,,3rd Ave & Bever Ave,corner sidewalk,41.9845971,-91.65330003,,,,,,,,,,,,
cr_transit,R03,S03,8,,3rd Ave & 15th St,corner sidewalk,41.98623513,-91.65053553,,,,,,,,,,,,
cr_transit,R03,S03,9,,3rd Ave & Grande Ave,grass to sidewalk,41.98797064,-91.64752726,,,,,,,,,,,,
cr_transit,R03,S03,10,,3rd Ave & 18th St,grass to sidewalk,41.98972733,-91.64461125,,,,,,,00:06:00,00:06:00,,,,
cr_transit,R03,S03,11,,19th St & 2nd Ave,concrete pad,41.99184602,-91.64314027,,,,,,,,,,,,
cr_transit,R03,S03,12,,19th St between 1st Ave & A Ave,grass to sidewalk,41.9931136,-91.64443484,,,,,,,,,,,,
cr_transit,R03,S03,13,,19th St & B Ave,corner sidewalk,41.99438792,-91.64578959,,,,,,,,,,,,
cr_transit,R03,S03,14,,B Ave & 20th St,corner sidewalk,41.99628524,-91.64266106,,,,,,,,,,,,
cr_transit,R03,S03,15,,20th St across from C Ave  (Franklin School),concrete pad,41.99743579,-91.64317259,,,,,,,,,,,,
cr_transit,R03,S03,16,,20th St & D Ave,grass to sidewalk,41.99810626,-91.64404682,,,,,,,,,,,,
cr_transit,R03,S03,17,,20th St & F Ave,grass to sidewalk,42.0000267,-91.64552779,,,,,,,,,,,,
cr_transit,R03,S03,18,,Prairie Dr & Franklin Ave,corner sidewalk,42.00135191,-91.64613122,,,,,,,00:10:00,00:10:00,,,,
cr_transit,R03,S03,19,,Franklin Ave & 25th St,grass to sidewalk,42.0033937,-91.64300015,,,,,,,,,,,,
cr_transit,R03,S03,20,,Franklin Ave & 27th St,corner sidewalk,42.00442015,-91.64148293,,,,,,,,,,,,
cr_transit,R03,S03,21,,Lindale Dr & 29th St,"grass, no sidewalk",42.00616965,-91.64178762,,,,,,,,,,,,
cr_transit,R03,S03,22,,Lindale Dr across from Staub Ct,"grass, no sidewalk",42.00724036,-91.64188604,,,,,,,,,,,,
cr_transit,R03,S03,23,,Lindale Dr & 32nd St,corner sidewalk,42.00983296,-91.64185003,,,,,,,,,,,,
cr_transit,R03,S03,24,,E Ave & 33rd St,corner sidewalk,42.01095217,-91.64084066,,,,,,,,,,,,
cr_transit,R03,S03,25,,E Ave & 35th St,corner sidewalk,42.01336765,-91.64083252,,,,,,,,,,,,
